cve_id,cwes,description,severity,exploitability,impact,published_date,last_modified_date
CVE-2009-0397,{'CWE-119'},"Heap-based buffer overflow in the qtdemux_parse_samples function in gst/qtdemux/qtdemux.c in GStreamer Good Plug-ins (aka gst-plugins-good) 0.10.9 through 0.10.11, and GStreamer Plug-ins (aka gstreamer-plugins) 0.8.5, might allow remote attackers to execute arbitrary code via crafted Time-to-sample (aka stts) atom data in a malformed QuickTime media .mov file.",HIGH,8.6,10.0,2009-02-03 11:30:00+00:00,2018-10-11 21:01:00+00:00
CVE-2009-0586,{'CWE-189'},"Integer overflow in the gst_vorbis_tag_add_coverart function (gst-libs/gst/tag/gstvorbistag.c) in vorbistag in gst-plugins-base (aka gstreamer-plugins-base) before 0.10.23 in GStreamer allows context-dependent attackers to execute arbitrary code via a crafted COVERART tag that is converted from a base64 representation, which triggers a heap-based buffer overflow.",HIGH,10.0,6.4,2009-03-14 18:30:00+00:00,2018-10-10 19:29:00+00:00
CVE-2009-0946,{'CWE-190'},"Multiple integer overflows in FreeType 2.3.9 and earlier allow remote attackers to execute arbitrary code via vectors related to large values in certain inputs in (1) smooth/ftsmooth.c, (2) sfnt/ttcmap.c, and (3) cff/cffload.c.",HIGH,10.0,6.4,2009-04-17 00:30:00+00:00,2021-04-05 19:25:00+00:00
CVE-2009-1194,{'CWE-189'},"Integer overflow in the pango_glyph_string_set_size function in pango/glyphstring.c in Pango before 1.24 allows context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long glyph string that triggers a heap-based buffer overflow, as demonstrated by a long document.location value in Firefox.",MEDIUM,8.6,6.4,2009-05-11 15:30:00+00:00,2018-10-10 19:34:00+00:00
CVE-2009-1570,{'CWE-190'},Integer overflow in the ReadImage function in plug-ins/file-bmp/bmp-read.c in GIMP 2.6.7 might allow remote attackers to execute arbitrary code via a BMP file with crafted width and height values that trigger a heap-based buffer overflow.,HIGH,8.6,10.0,2009-11-13 15:30:00+00:00,2022-02-07 17:54:00+00:00
CVE-2009-1932,{'CWE-189'},"Multiple integer overflows in the (1) user_info_callback, (2) user_endrow_callback, and (3) gst_pngdec_task functions (ext/libpng/gstpngdec.c) in GStreamer Good Plug-ins (aka gst-plugins-good or gstreamer-plugins-good) 0.10.15 allow remote attackers to cause a denial of service and possibly execute arbitrary code via a crafted PNG file, which triggers a buffer overflow.",MEDIUM,8.6,6.4,2009-06-04 20:30:00+00:00,2017-09-29 01:34:00+00:00
CVE-2009-2139,{'CWE-119'},"Heap-based buffer overflow in svtools/source/filter.vcl/wmf/enhwmf.cxx in Go-oo 2.x and 3.x before 3.0.1, previously named ooo-build and related to OpenOffice.org (OOo), allows remote attackers to execute arbitrary code via a crafted EMF file, a similar issue to CVE-2008-2238.",HIGH,8.6,10.0,2009-09-08 23:30:00+00:00,2010-07-19 04:00:00+00:00
CVE-2009-2140,{'CWE-119'},"Multiple heap-based buffer overflows in cppcanvas/source/mtfrenderer/emfplus.cxx in Go-oo 2.x and 3.x before 3.0.1, previously named ooo-build and related to OpenOffice.org (OOo), allow remote attackers to execute arbitrary code via a crafted EMF+ file, a similar issue to CVE-2008-2238.",HIGH,8.6,10.0,2009-09-21 19:30:00+00:00,2010-05-29 05:38:00+00:00
CVE-2009-2414,{'CWE-119'},"Stack consumption vulnerability in libxml2 2.5.10, 2.6.16, 2.6.26, 2.6.27, and 2.6.32, and libxml 1.8.17, allows context-dependent attackers to cause a denial of service (application crash) via a large depth of element declarations in a DTD, related to a function recursion, as demonstrated by the Codenomicon XML fuzzing framework.",MEDIUM,8.6,2.9,2009-08-11 18:30:00+00:00,2018-10-10 19:40:00+00:00
CVE-2009-2416,{'CWE-399'},"Multiple use-after-free vulnerabilities in libxml2 2.5.10, 2.6.16, 2.6.26, 2.6.27, and 2.6.32, and libxml 1.8.17, allow context-dependent attackers to cause a denial of service (application crash) via crafted (1) Notation or (2) Enumeration attribute types in an XML file, as demonstrated by the Codenomicon XML fuzzing framework.",MEDIUM,8.6,2.9,2009-08-11 18:30:00+00:00,2018-10-10 19:40:00+00:00
CVE-2009-2624,{'CWE-20'},"The huft_build function in inflate.c in gzip before 1.3.13 creates a hufts (aka huffman) table that is too small, which allows remote attackers to cause a denial of service (application crash or infinite loop) or possibly execute arbitrary code via a crafted archive.  NOTE: this issue is caused by a CVE-2006-4334 regression.",MEDIUM,8.6,6.4,2010-01-29 18:30:00+00:00,2010-11-18 06:29:00+00:00
CVE-2009-2700,{'CWE-20'},"src/network/ssl/qsslcertificate.cpp in Nokia Trolltech Qt 4.x does not properly handle a '\\0' character in a domain name in the Subject Alternative Name field of an X.509 certificate, which allows man-in-the-middle attackers to spoof arbitrary SSL servers via a crafted certificate issued by a legitimate Certification Authority, a related issue to CVE-2009-2408.",MEDIUM,8.6,2.9,2009-09-02 17:30:00+00:00,2021-06-16 12:43:00+00:00
CVE-2009-3111,{'NVD-CWE-Other'},"The rad_decode function in FreeRADIUS before 1.1.8 allows remote attackers to cause a denial of service (radiusd crash) via zero-length Tunnel-Password attributes, as demonstrated by a certain module in VulnDisco Pack Professional 7.6 through 8.11.  NOTE: this is a regression error related to CVE-2003-0967.",MEDIUM,10.0,2.9,2009-09-09 18:30:00+00:00,2017-09-19 01:29:00+00:00
CVE-2009-3287,{'CWE-20'},"lib/thin/connection.rb in Thin web server before 1.2.4 relies on the X-Forwarded-For header to determine the IP address of the client, which allows remote attackers to spoof the IP address and hide activities via a modified X-Forwarded-For header.",HIGH,10.0,6.4,2009-09-22 10:30:00+00:00,2009-09-22 10:30:00+00:00
CVE-2009-3604,{'CWE-399'},"The Splash::drawImage function in Splash.cc in Xpdf 2.x and 3.x before 3.02pl4, and Poppler 0.x, as used in GPdf and kdegraphics KPDF, does not properly allocate memory, which allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF document that triggers a NULL pointer dereference or a heap-based buffer overflow.",HIGH,8.6,10.0,2009-10-21 17:30:00+00:00,2019-03-06 16:30:00+00:00
CVE-2009-3605,{'CWE-189'},"Multiple integer overflows in Poppler 0.10.5 and earlier allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted PDF file, related to (1) glib/poppler-page.cc; (2) ArthurOutputDev.cc, (3) CairoOutputDev.cc, (4) GfxState.cc, (5) JBIG2Stream.cc, (6) PSOutputDev.cc, and (7) SplashOutputDev.cc in poppler/; and (8) SplashBitmap.cc, (9) Splash.cc, and (10) SplashFTFont.cc in splash/.  NOTE: this may overlap CVE-2009-0791.",MEDIUM,8.6,6.4,2009-11-02 15:30:00+00:00,2017-09-19 01:29:00+00:00
CVE-2009-3607,{'CWE-189'},Integer overflow in the create_surface_from_thumbnail_data function in glib/poppler-page.cc in Poppler 0.x allows remote attackers to cause a denial of service (memory corruption) or possibly execute arbitrary code via a crafted PDF document that triggers a heap-based buffer overflow.  NOTE: some of these details are obtained from third party information.,HIGH,8.6,10.0,2009-10-21 17:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2009-3616,{'CWE-399'},"Multiple use-after-free vulnerabilities in vnc.c in the VNC server in QEMU 0.10.6 and earlier might allow guest OS users to execute arbitrary code on the host OS by establishing a connection from a VNC client and then (1) disconnecting during data transfer, (2) sending a message using incorrect integer data types, or (3) using the Fuzzy Screen Mode protocol, related to double free vulnerabilities.",HIGH,6.8,10.0,2009-10-23 18:30:00+00:00,2020-11-02 14:39:00+00:00
CVE-2009-3626,{'NVD-CWE-Other'},"Perl 5.10.1 allows context-dependent attackers to cause a denial of service (application crash) via a UTF-8 character with a large, invalid codepoint, which is not properly handled during a regular-expression match.",MEDIUM,10.0,2.9,2009-10-29 14:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2009-3627,{'CWE-20'},"The decode_entities function in util.c in HTML-Parser before 3.63 allows context-dependent attackers to cause a denial of service (infinite loop) via an incomplete SGML numeric character reference, which triggers generation of an invalid UTF-8 character.",MEDIUM,8.6,2.9,2009-10-29 14:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2009-3736,{'NVD-CWE-Other'},"ltdl.c in libltdl in GNU Libtool 1.5.x, and 2.2.6 before 2.2.6b, as used in Ham Radio Control Libraries, Q, and possibly other products, attempts to open a .la file in the current working directory, which allows local users to gain privileges via a Trojan horse file.",MEDIUM,3.4,10.0,2009-11-29 13:07:00+00:00,2017-09-19 01:29:00+00:00
CVE-2009-3909,{'CWE-190'},Integer overflow in the read_channel_data function in plug-ins/file-psd/psd-load.c in GIMP 2.6.7 might allow remote attackers to execute arbitrary code via a crafted PSD file that triggers a heap-based buffer overflow.,HIGH,8.6,10.0,2009-11-19 00:30:00+00:00,2022-02-07 17:53:00+00:00
CVE-2009-4135,{'CWE-59'},The distcheck rule in dist-check.mk in GNU coreutils 5.2.1 through 8.1 allows local users to gain privileges via a symlink attack on a file in a directory tree under /tmp.,MEDIUM,3.4,6.4,2009-12-11 16:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2009-4144,{'CWE-310'},"NetworkManager (NM) 0.7.2 does not ensure that the configured Certification Authority (CA) certificate file for a (1) WPA Enterprise or (2) 802.1x network remains present upon a connection attempt, which might allow remote attackers to obtain sensitive information or cause a denial of service (connectivity disruption) by spoofing the identity of a wireless network.",MEDIUM,8.6,6.4,2009-12-23 20:30:00+00:00,2017-09-19 01:29:00+00:00
CVE-2009-4145,{'CWE-200'},"nm-connection-editor in NetworkManager (NM) 0.7.x exports connection objects over D-Bus upon actions in the connection editor GUI, which allows local users to obtain sensitive information by reading D-Bus signals, as demonstrated by using dbus-monitor to discover the password for the WiFi network.",LOW,3.9,2.9,2009-12-23 20:30:00+00:00,2017-09-19 01:29:00+00:00
CVE-2009-4214,{'CWE-79'},"Cross-site scripting (XSS) vulnerability in the strip_tags function in Ruby on Rails before 2.2.s, and 2.3.x before 2.3.5, allows remote attackers to inject arbitrary web script or HTML via vectors involving non-printing ASCII characters, related to HTML::Tokenizer and actionpack/lib/action_controller/vendor/html-scanner/html/node.rb.",MEDIUM,8.6,2.9,2009-12-07 17:30:00+00:00,2019-08-08 14:43:00+00:00
CVE-2009-4411,{'CWE-264'},"The (1) setfacl and (2) getfacl commands in XFS acl 2.2.47, when running in recursive (-R) mode, follow symbolic links even when the --physical (aka -P) or -L option is specified, which might allow local users to modify the ACL for arbitrary files or directories via a symlink attack.",LOW,1.9,6.4,2009-12-24 16:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2009-5138,{'CWE-264'},"GnuTLS before 2.7.6, when the GNUTLS_VERIFY_ALLOW_X509_V1_CA_CRT flag is not enabled, treats version 1 X.509 certificates as intermediate CAs, which allows remote attackers to bypass intended restrictions by leveraging a X.509 V1 certificate from a trusted CA to issue new certificates, a different vulnerability than CVE-2014-1959.",MEDIUM,8.6,4.9,2014-03-07 00:10:00+00:00,2014-04-01 05:44:00+00:00
CVE-2009-5145,{'CWE-79'},"Cross-site scripting (XSS) vulnerability in ZMI pages that use the manage_tabs_message in Zope 2.11.4, 2.11.2, 2.10.9, 2.10.7, 2.10.6, 2.10.5, 2.10.4, 2.10.2, 2.10.1, 2.12.",MEDIUM,8.6,2.9,2017-08-07 17:29:00+00:00,2017-08-15 16:29:00+00:00
CVE-2009-5147,{'CWE-20'},"DL::dlopen in Ruby 1.8, 1.9.0, 1.9.2, 1.9.3, 2.0.0 before patchlevel 648, and 2.1 before 2.1.8 opens libraries with tainted names.",HIGH,10.0,6.4,2017-03-29 14:59:00+00:00,2018-03-28 01:29:00+00:00
CVE-2009-5155,{'CWE-19'},"In the GNU C Library (aka glibc or libc6) before 2.28, parse_reg_exp in posix/regcomp.c misparses alternatives, which allows attackers to cause a denial of service (assertion failure and application exit) or trigger an incorrect result by attempting a regular-expression match.",MEDIUM,10.0,2.9,2019-02-26 02:29:00+00:00,2021-06-29 15:15:00+00:00
CVE-2010-0001,{'CWE-189'},"Integer underflow in the unlzw function in unlzw.c in gzip before 1.4 on 64-bit platforms, as used in ncompress and probably others, allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted archive that uses LZW compression, leading to an array index error.",MEDIUM,8.6,6.4,2010-01-29 18:30:00+00:00,2017-09-19 01:30:00+00:00
CVE-2010-0011,{'CWE-264'},"The eval_js function in uzbl-core.c in Uzbl before 2010.01.05 exposes the run method of the Uzbl object, which allows remote attackers to execute arbitrary commands via JavaScript code.",HIGH,10.0,6.4,2010-02-25 19:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2010-0285,{'NVD-CWE-Other'},"gnome-screensaver 2.14.3, 2.22.2, 2.27.x, 2.28.0, and 2.28.3, when the X configuration enables the extend screen option, allows physically proximate attackers to bypass screen locking, access an unattended workstation, and view half of the GNOME desktop by attaching an external monitor.",MEDIUM,1.9,9.2,2010-02-24 18:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2010-0297,{'CWE-119'},Buffer overflow in the usb_host_handle_control function in the USB passthrough handling implementation in usb-linux.c in QEMU before 0.11.1 allows guest OS users to cause a denial of service (guest OS crash or hang) or possibly execute arbitrary code on the host OS via a crafted USB packet.,HIGH,3.9,10.0,2010-02-12 19:30:00+00:00,2020-11-02 14:39:00+00:00
CVE-2010-0414,{'NVD-CWE-Other'},gnome-screensaver before 2.28.2 allows physically proximate attackers to bypass screen locking and access an unattended workstation by moving the mouse position to an external monitor and then disconnecting that monitor.,HIGH,3.9,10.0,2010-02-11 20:30:00+00:00,2010-02-26 07:11:00+00:00
CVE-2010-0422,{'NVD-CWE-Other'},"gnome-screensaver 2.28.x before 2.28.3 does not properly synchronize the state of screen locking and the unlock dialog in situations involving a change to the number of monitors, which allows physically proximate attackers to bypass screen locking and access an unattended workstation by connecting and disconnecting monitors multiple times, a related issue to CVE-2010-0414.",MEDIUM,1.9,6.9,2010-02-24 18:30:00+00:00,2017-08-17 01:31:00+00:00
CVE-2010-0732,{'CWE-362'},"gdk/gdkwindow.c in GTK+ before 2.18.5, as used in gnome-screensaver before 2.28.1, performs implicit paints on windows of type GDK_WINDOW_FOREIGN, which triggers an X error in certain circumstances and consequently allows physically proximate attackers to bypass screen locking and access an unattended workstation by pressing the Enter key many times.",MEDIUM,1.9,10.0,2010-03-19 19:30:00+00:00,2010-06-05 05:32:00+00:00
CVE-2010-0750,{'CWE-200'},pkexec.c in pkexec in libpolkit in PolicyKit 0.96 allows local users to determine the existence of arbitrary files via the argument.,LOW,3.9,2.9,2010-04-06 16:30:00+00:00,2017-08-17 01:32:00+00:00
CVE-2010-1149,{'CWE-200'},"probers/udisks-dm-export.c in udisks before 1.0.1 exports UDISKS_DM_TARGETS_PARAMS information to udev even for a crypt UDISKS_DM_TARGETS_TYPE, which allows local users to discover encryption keys by (1) running a certain udevadm command or (2) reading a certain file under /dev/.udev/db/.",LOW,3.9,2.9,2010-04-12 18:30:00+00:00,2010-04-13 04:00:00+00:00
CVE-2010-1152,{'CWE-20'},memcached.c in memcached before 1.4.3 allows remote attackers to cause a denial of service (daemon hang or crash) via a long line that triggers excessive memory allocation.  NOTE: some of these details are obtained from third party information.,MEDIUM,10.0,2.9,2010-04-12 18:30:00+00:00,2011-03-01 07:01:00+00:00
CVE-2010-1155,{'CWE-20'},"Irssi before 0.8.15, when SSL is used, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) field or a Subject Alternative Name field of the X.509 certificate, which allows man-in-the-middle attackers to spoof IRC servers via an arbitrary certificate.",MEDIUM,8.6,6.4,2010-04-16 19:30:00+00:00,2017-08-17 01:32:00+00:00
CVE-2010-1166,{'CWE-189'},"The fbComposite function in fbpict.c in the Render extension in the X server in X.Org X11R7.1 allows remote authenticated users to cause a denial of service (memory corruption and daemon crash) or possibly execute arbitrary code via a crafted request, related to an incorrect macro definition.",HIGH,3.9,10.0,2010-04-29 21:30:00+00:00,2017-09-19 01:30:00+00:00
CVE-2010-1172,{'CWE-264'},"DBus-GLib 0.73 disregards the access flag of exported GObject properties, which allows local users to bypass intended access restrictions and possibly cause a denial of service by modifying properties, as demonstrated by properties of the (1) DeviceKit-Power, (2) NetworkManager, and (3) ModemManager services.",LOW,3.9,4.9,2010-08-20 18:00:00+00:00,2017-08-17 01:32:00+00:00
CVE-2010-1630,{'NVD-CWE-noinfo'},"Unspecified vulnerability in posting.php in phpBB before 3.0.5 has unknown impact and attack vectors related to the use of a \forum id\"" in circumstances related to a \""global announcement.\""""",HIGH,10.0,6.4,2010-05-19 22:30:00+00:00,2010-05-20 04:00:00+00:00
CVE-2010-1797,{'CWE-119'},"Multiple stack-based buffer overflows in the cff_decoder_parse_charstrings function in the CFF Type2 CharStrings interpreter in cff/cffgload.c in FreeType before 2.4.2, as used in Apple iOS before 4.0.2 on the iPhone and iPod touch and before 3.2.2 on the iPad, allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via crafted CFF opcodes in embedded fonts in a PDF document, as demonstrated by JailbreakMe. NOTE: some of these details are obtained from third party information.",HIGH,8.6,10.0,2010-08-16 18:39:00+00:00,2021-05-23 00:52:00+00:00
CVE-2010-2060,{'NVD-CWE-Other'},"The put command functionality in beanstalkd 1.4.5 and earlier allows remote attackers to execute arbitrary Beanstalk commands via the body in a job that is too big, which is not properly handled by the dispatch_cmd function in prot.c.",HIGH,10.0,6.4,2010-06-08 00:30:00+00:00,2017-08-17 01:32:00+00:00
CVE-2010-2236,{'CWE-20'},"The monitoring probe display in spacewalk-java before 2.1.148-1 and Red Hat Network (RHN) Satellite 4.0.0 through 4.2.0 and 5.1.0 through 5.3.0, and Proxy 5.3.0, allows remote authenticated users with permissions to administer monitoring probes to execute arbitrary code via unspecified vectors, related to backticks.",MEDIUM,6.8,6.4,2014-04-15 23:55:00+00:00,2022-02-03 16:26:00+00:00
CVE-2010-2243,{'CWE-20'},"A vulnerability exists in kernel/time/clocksource.c in the Linux kernel before 2.6.34 where on non-GENERIC_TIME systems (GENERIC_TIME=n), accessing /sys/devices/system/clocksource/clocksource0/current_clocksource results in an OOPS.",HIGH,10.0,6.9,2019-11-07 17:15:00+00:00,2019-11-22 17:15:00+00:00
CVE-2010-2447,{'CWE-20'},gitolite before 1.4.1 does not filter src/ or hooks/ from path names.,HIGH,10.0,6.4,2019-11-07 20:15:00+00:00,2019-11-12 15:55:00+00:00
CVE-2010-2497,{'CWE-191'},Integer underflow in glyph handling in FreeType before 2.4.0 allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted font file.,MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-03-23 16:25:00+00:00
CVE-2010-2498,{'CWE-787'},"The psh_glyph_find_strong_points function in pshinter/pshalgo.c in FreeType before 2.4.0 does not properly implement hinting masks, which allows remote attackers to cause a denial of service (heap memory corruption and application crash) or possibly execute arbitrary code via a crafted font file that triggers an invalid free operation.",MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-04-06 12:51:00+00:00
CVE-2010-2499,{'CWE-120'},Buffer overflow in the Mac_Read_POST_Resource function in base/ftobjs.c in FreeType before 2.4.0 allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted LaserWriter PS font file with an embedded PFB fragment.,MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-04-06 12:51:00+00:00
CVE-2010-2500,{'CWE-190'},Integer overflow in the gray_render_span function in smooth/ftgrays.c in FreeType before 2.4.0 allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted font file.,MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-03-23 16:25:00+00:00
CVE-2010-2519,{'CWE-787'},Heap-based buffer overflow in the Mac_Read_POST_Resource function in base/ftobjs.c in FreeType before 2.4.0 allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted length value in a POST fragment header in a font file.,MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-03-23 16:22:00+00:00
CVE-2010-2520,{'CWE-787'},"Heap-based buffer overflow in the Ins_IUP function in truetype/ttinterp.c in FreeType before 2.4.0, when TrueType bytecode support is enabled, allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted font file.",MEDIUM,4.9,6.4,2010-08-19 18:00:00+00:00,2021-03-23 16:22:00+00:00
CVE-2010-2525,{'CWE-863'},A flaw was discovered in gfs2 file system’s handling of acls (access control lists). An unprivileged local attacker could exploit this flaw to gain access or execute any file stored in the gfs2 file system.,HIGH,3.9,10.0,2021-06-22 12:15:00+00:00,2021-06-28 17:26:00+00:00
CVE-2010-2527,{'CWE-120'},Multiple buffer overflows in demo programs in FreeType before 2.4.0 allow remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted font file.,MEDIUM,8.6,6.4,2010-08-19 18:00:00+00:00,2021-04-06 12:51:00+00:00
CVE-2010-2621,{'CWE-20'},The QSslSocketBackendPrivate::transmit function in src_network_ssl_qsslsocket_openssl.cpp in Qt 4.6.3 and earlier allows remote attackers to cause a denial of service (infinite loop) via a malformed request.,MEDIUM,10.0,2.9,2010-07-02 20:30:00+00:00,2021-06-16 12:43:00+00:00
